 [DEBUG] 2019-03-01 11:38:06,012 [15] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:38:06,013 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 11:38:06,858 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:38:06,858 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 11:38:39,661 [5] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:38:39,670 [5] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:38:39,671 [5] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 11:38:40,506 [5] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:38:40,507 [5] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 11:39:10,250 [5] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:39:10,261 [7] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:39:10,262 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 11:39:11,102 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:39:11,102 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 11:39:26,217 [5] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:39:26,225 [7] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:39:26,225 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 11:39:27,070 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:39:27,071 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 11:41:02,615 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:41:02,616 [6] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 11:41:12,181 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:41:12,188 [7] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:41:12,188 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 11:41:13,036 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 11:41:13,036 [7] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 11:42:27,230 [6] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 11:42:27,231 [6] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:10:16,804 [67] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:10:16,805 [67] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:10:18,349 [63] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:10:18,350 [63] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:30:53,461 [83] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:30:53,462 [83] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:31:09,484 [69] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
